,MessageID,MessageType,MessageTimeLeft,MessageTimeReceived,MessageDelay,MessageRoute,MessageTarget
4686,61_49,Real,47.23021222387798,47.507076727761316,"[2.0622319840649532, 0.17686450388334676, 0]","[Client id: 61, ( id: 3, corrupt: False ), Client id: 11]","[0.0, 0.0, 0.0, 0.0, 2.271527883828566e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4687,32_46,Real,46.08918609084341,47.52558324958201,"[2.7811425914268915, 1.3363971587386048, 0]","[Client id: 32, ( id: 3, corrupt: False ), Client id: 88]","[0.0, 0.0, 0.0, 0.0, 2.1379085965445326e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4688,21_48,Real,46.79137158497405,47.550942872643766,"[0.5792477989453517, 0.6595712876697196, 0]","[Client id: 21, ( id: 10, corrupt: False ), Client id: 70]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3889445833543415e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4689,33_54,Real,46.50370325378327,47.57465867509423,"[0.07551966289634436, 0.9709554213109581, 0]","[Client id: 33, ( id: 4, corrupt: False ), Client id: 73]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0035187985250105607, 0.0, 0.0, 0.0, 0.0]"
4690,5_50,Real,45.18697369974227,47.58018769921043,"[0.004459372258450804, 2.2932139994681675, 0]","[Client id: 5, ( id: 10, corrupt: False ), Client id: 31]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3889445833543415e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4691,30_43,Real,46.16865135821386,47.59035484210745,"[1.1479446888356992, 1.321703483893598, 0]","[Client id: 30, ( id: 7, corrupt: False ), Client id: 84]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001212740156329899, 0.0, 0.0, 0.0, 0.0, 0.0]"
4692,25_73,Real,46.375857109922016,47.59067901180589,"[0.21095492583302952, 1.1148219018838774, 0]","[Client id: 25, ( id: 4, corrupt: False ), Client id: 42]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003518798525010561, 0.0, 0.0, 0.0, 0.0]"
4693,88_49,Real,47.11485327122224,47.606210560154196,"[1.1048164309449644, 0.39135728893196176, 0]","[Client id: 88, ( id: 2, corrupt: False ), Client id: 74]","[0.0, 5.380604790297636e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2133666614717559e-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016760194537972315, 0.0, 0.0, 0.0]"
4694,7_49,Real,46.48238050503719,47.61745862554028,"[0.1857358522638731, 1.0350781205030974, 0]","[Client id: 7, ( id: 3, corrupt: False ), Client id: 16]","[0.0, 0.0, 0.0, 0.0, 2.1379085965445326e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4695,67_61,Real,46.61809573821825,47.62532234370348,"[1.1246279940142794, 0.9072266054852319, 0]","[Client id: 67, ( id: 3, corrupt: False ), Client id: 82]","[0.0, 0.0, 0.0, 0.0, 2.1379085965445326e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
