,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
2863,24_26,Real,28.053802548159226,"[2.329144024386317, 1.5989347173592112, 0]","[Client id: 24, ( id: 10, corrupt: False ), Client id: 7]"
2864,17_38,Real,28.0589917484478,"[2.1155826295409526, 0.12166613458833218, 0]","[Client id: 17, ( id: 8, corrupt: False ), Client id: 48]"
2865,43_19,Real,28.061335560374854,"[0.16938532331115524, 1.3365505984182589, 0]","[Client id: 43, ( id: 7, corrupt: False ), Client id: 83]"
2866,34_32,Real,28.061882884834127,"[0.16474770022119015, 0.3358099461368093, 0]","[Client id: 34, ( id: 9, corrupt: False ), Client id: 99]"
2867,65_29,Real,28.068973735828898,"[0.3497241620906857, 3.8682248233395993, 0]","[Client id: 65, ( id: 2, corrupt: False ), Client id: 28]"
2868,12_23,Real,28.069104835337587,"[1.0739986584600616, 1.426367814127818, 0]","[Client id: 12, ( id: 1, corrupt: False ), Client id: 53]"
2869,78_32,Real,28.134894984782232,"[0.9778966920133304, 0.19272622608928536, 0]","[Client id: 78, ( id: 7, corrupt: False ), Client id: 84]"
2870,12_24,Real,28.149279208327396,"[0.08017437298981023, 2.9440929971072998, 0]","[Client id: 12, ( id: 2, corrupt: False ), Client id: 83]"
2871,91_36,Real,28.175885025558415,"[0.5265453699815495, 0.9749891421419491, 0]","[Client id: 91, ( id: 3, corrupt: False ), Client id: 6]"
2872,88_27,Real,28.215438439873473,"[1.1803855796251308, 1.7916265392530928, 0]","[Client id: 88, ( id: 8, corrupt: False ), Client id: 94]"
2873,59_22,Real,28.229323615202134,"[0.8551376685844342, 0.5310793730534263, 0]","[Client id: 59, ( id: 1, corrupt: False ), Client id: 23]"
2874,11_33,Real,28.234395136672454,"[0.4009858431211152, 0.2986593034205141, 0]","[Client id: 11, ( id: 10, corrupt: False ), Client id: 57]"
2875,12_25,Real,28.242800841567583,"[0.09352163324018596, 0.5697526442675325, 0]","[Client id: 12, ( id: 4, corrupt: False ), Client id: 18]"
2876,79_29,Real,28.25043656038857,"[0.8495161044494529, 0.11941698145686767, 0]","[Client id: 79, ( id: 2, corrupt: False ), Client id: 85]"
2877,64_40,Real,28.256892895565084,"[1.7234011887014822, 0.70250518722451, 0]","[Client id: 64, ( id: 4, corrupt: False ), Client id: 61]"
2878,17_39,Real,28.279285980191542,"[0.220294231743744, 0.09989363221573484, 0]","[Client id: 17, ( id: 9, corrupt: False ), Client id: 32]"
2879,85_27,Real,28.27961571885208,"[0.6726962179669214, 0.18418008737734365, 0]","[Client id: 85, ( id: 2, corrupt: False ), Client id: 77]"
2880,95_34,Real,28.280324010184117,"[0.32695551659758126, 0.452835324002551, 0]","[Client id: 95, ( id: 5, corrupt: False ), Client id: 29]"
2881,94_31,Real,28.280769989828883,"[0.3366721606283132, 1.5631821503093193, 0]","[Client id: 94, ( id: 10, corrupt: False ), Client id: 16]"
